name,fhispanic,fwhite,fblack,fapi,faian,mhispanic,mwhite,mblack,mapi,maian
Aaron,480,2707,511,406,66,6370,35926,6781,5384,879
Abbas,0,0,0,0,0,0,261,57,156,0
Abbey,0,900,172,0,0,0,26,5,0,0
Abbie,110,925,155,0,0,0,0,0,0,0
Abby,442,3478,442,541,0,20,161,20,25,0
Abdul,0,0,0,0,0,68,670,262,694,68
Abdullah,0,0,0,0,0,90,486,181,285,0
Abe,0,0,0,0,0,58,203,83,41,0
Abel,178,70,29,31,0,3628,1431,584,625,0
Abelardo,0,0,0,0,0,377,129,0,146,0
Abhijit,0,0,0,0,0,0,16,0,34,0
Abhishek,0,0,0,0,0,0,0,0,116,0
Abigail,4418,11423,1515,2767,0,179,463,61,112,0
Abner,0,0,0,0,0,284,266,159,174,0
Abraham,140,175,70,89,30,2936,3657,1474,1861,638
Abram,0,0,0,0,0,245,723,212,122,0
Ada,1144,1508,548,604,146,42,55,20,22,5
Adalberto,0,0,0,0,0,420,104,0,0,0
Adam,315,2187,178,225,65,5783,40200,3267,4132,1193
Adan,132,32,20,11,0,1834,448,274,158,0
Addie,82,469,294,82,82,2,13,8,2,2
Adel,59,164,44,73,0,96,268,72,120,0
Adela,654,441,0,236,0,0,0,0,0,0
Adelaida,174,89,0,140,0,0,0,0,0,0
Adelaide,305,759,305,0,0,0,0,0,0,0
Adele,89,1203,200,200,0,0,0,0,0,0
Adelina,635,407,102,227,102,0,0,0,0,0
Adeline,542,1343,458,648,0,9,22,7,10,0
Adina,95,470,116,67,0,0,0,0,0,0
Admir,0,0,0,0,0,0,57,0,0,0
Adnan,0,0,0,0,0,0,338,51,228,51
Adolfo,39,13,3,6,0,1216,413,97,195,0
Adolph,0,0,0,0,0,52,132,62,0,0
Adria,116,347,0,0,0,5,16,0,0,0
Adrian,1594,1857,881,431,156,8167,9512,4516,2210,798
Adriana,4945,3757,566,490,283,305,232,35,30,17
Adriane,89,295,133,44,0,31,102,46,15,0
Adrianna,765,821,212,212,0,17,19,5,5,0
Adrianne,132,705,187,76,0,9,47,12,5,0
Adrienne,568,3650,1426,498,157,60,384,150,52,17
Afshin,0,0,0,0,0,0,30,0,12,0
Agata,19,133,0,0,0,0,0,0,0,0
Agatha,44,207,108,108,44,0,0,0,0,0
Agnes,214,999,398,509,91,0,0,0,0,0
Agnieszka,20,141,14,14,0,0,0,0,0,0
Agustin,33,8,2,7,0,1484,379,101,304,0
Ahmad,0,0,0,0,0,131,1372,320,858,185
Ahmed,0,0,0,0,0,173,1313,474,774,0
Ahmet,0,0,0,0,0,35,132,0,25,0
Ai,18,32,0,96,0,2,4,0,12,0
Aida,746,679,107,433,0,22,20,3,13,0
Aileen,545,1461,264,857,0,9,25,4,14,0
Aimee,622,3607,213,658,151,19,110,6,20,5
Aisha,270,573,885,357,0,7,15,23,9,0
Ajay,2,14,2,23,4,63,394,63,658,109
Ajit,0,0,0,0,0,16,60,0,117,0
Akbar,0,0,0,0,0,0,73,0,75,0
Akiko,17,50,17,78,0,0,0,0,0,0
Al,0,0,0,0,0,93,342,131,117,42
Alain,0,0,0,0,0,204,445,177,153,0
Alaina,211,1523,211,211,0,2,18,2,2,0
Alan,165,1298,139,296,44,2711,21277,2282,4846,714
Alana,654,2637,834,327,0,14,58,18,7,0
Alane,0,60,0,0,0,0,0,0,0,0
Alanna,0,1039,0,145,145,0,19,0,3,3
Alastair,0,0,0,0,0,0,142,0,0,0
Alba,627,283,0,65,0,0,0,0,0,0
Albert,180,507,160,161,27,3139,8814,2779,2794,462
Alberta,96,278,183,53,0,14,41,27,8,0
Alberto,303,112,22,88,18,4507,1667,333,1306,272
Alden,50,157,29,57,0,166,526,96,192,0
Aldo,0,0,0,0,0,905,725,0,221,0
Alec,0,182,26,55,0,0,2205,315,668,0
Alecia,111,656,304,0,111,0,0,0,0,0
Alejandra,2775,875,0,536,0,268,85,0,52,0
Alejandro,702,195,26,124,0,9440,2620,347,1664,0
Aleksandar,0,0,0,0,0,0,193,0,0,0
Aleksander,0,0,0,0,0,0,350,0,0,0
Aleksandr,0,0,0,0,0,39,525,0,55,0
Aleksandra,0,368,0,0,0,0,0,0,0,0
Aleksey,0,23,0,4,0,0,167,0,33,0
Alen,0,0,0,0,0,41,216,0,58,0
Alena,112,792,251,158,0,0,0,0,0,0
Alene,0,115,31,22,0,0,0,0,0,0
Alesha,72,385,175,0,0,2,13,6,0,0
Alesia,90,284,207,0,0,0,0,0,0,0
Alessandra,261,838,0,0,0,0,0,0,0,0
Alessandro,0,0,0,0,0,143,649,101,143,0
Aleta,26,175,53,0,0,0,0,0,0,0
Alex,1517,2796,617,1255,163,7320,13490,2977,6057,786
Alexa,505,3070,505,0,0,24,145,24,0,0
Alexander,842,2582,475,736,104,10873,33326,6131,9504,1349
Alexandr,0,74,0,0,0,0,92,0,0,0
Alexandra,3472,9809,1157,1494,472,200,565,67,86,27
Alexandre,33,97,17,20,0,191,552,95,117,0
Alexandria,826,2757,441,624,312,38,127,20,29,14
Alexandru,0,0,0,0,0,34,131,0,0,0
Alexei,0,59,0,0,0,0,186,0,0,0
Alexey,0,20,0,0,0,0,105,0,0,0
Alexia,0,1197,417,208,0,0,36,12,6,0
Alexis,4545,10645,2725,2049,0,1973,4622,1183,889,0
Alfonso,82,34,18,20,0,2465,1008,553,595,0
Alfred,67,184,63,46,6,1387,3783,1307,941,124
Alfreda,17,48,85,17,0,0,0,0,0,0
Alfredo,242,89,23,76,0,4089,1494,388,1277,0
Ali,305,1865,452,964,216,536,3279,795,1695,379
Alia,154,511,109,243,0,0,0,0,0,0
Alice,2441,9884,2770,3155,504,78,316,89,101,16
Alicia,7147,11820,3526,2394,494,357,591,176,120,25
Alicja,0,107,0,0,0,0,0,0,0,0
Alida,98,173,35,0,0,0,0,0,0,0
Alina,1056,1962,340,439,0,0,0,0,0,0
Aline,43,296,106,86,0,0,0,0,0,0
Alireza,0,0,0,0,0,12,101,0,24,0
Alisa,315,2041,596,430,0,0,0,0,0,0
Alisha,517,2629,917,195,195,23,119,41,9,9
Alison,826,9150,1056,1168,0,51,565,65,72,0
Alissa,295,2489,340,241,170,4,36,5,3,2
Alistair,0,0,0,0,0,0,298,0,0,0
Alix,74,278,118,53,0,40,150,63,28,0
Aliza,142,522,174,0,101,3,12,4,0,2
Alka,0,9,0,21,4,0,0,0,0,0
Alla,19,216,0,0,0,3,35,0,0,0
Allan,28,185,27,54,6,652,4261,623,1239,136
Allen,78,718,162,173,17,1037,9555,2151,2308,232
Allene,0,83,47,25,0,0,0,0,0,0
Allison,1616,20043,2841,2841,0,79,981,139,139,0
Allyn,50,208,41,0,0,41,170,33,0,0
Allyson,0,3204,579,290,0,0,35,6,3,0
Alma,2633,1975,943,792,0,350,263,126,105,0
Alok,0,0,0,0,0,0,32,11,58,11
Alon,0,27,5,7,0,0,163,30,42,0
Alonso,0,0,0,0,0,656,268,101,101,0
Alonzo,17,23,26,6,0,527,720,817,192,0
Alphonse,0,0,0,0,0,31,200,83,0,0
Alphonso,4,6,15,2,0,103,146,338,52,0
Alta,0,196,52,30,0,0,0,0,0,0
